Mycobacterium_OAE908	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__OAE908	O
Arthrobacter_OAP107	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__OAP107	M
Terrabacter_OAE601	k__Bacteria;p__Terrabacteria;c__;o__;f__;g__Terrabacter;s__OAE601	N
Marmoricola_OAE513	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Marmoricola;s__OAE513	R
Rhodococcus_OAS809	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Rhodococcus;s__OAS809	P
Chitinophaga_OAE865	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Chitinophagaceae;g__Chitinophaga;s__OAE865	E
Niastella_OAS944	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Chitinophagaceae;g__Niastella;s__OAS944	F
Paenibacillus_OAE614	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__OAE614	T
Brevibacillus_OAP136	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__OAP136	S
Bradyrhizobium_OAE829	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__OAE829	J
Bosea_OAE506	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bosea;s__OAE506	K
Methylobacterium_OAE516	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacterium;g__Methylobacterium;s__OAE516	L
Rhizobium_OAE497	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__OAE497	I
Burkholderia_OAS925	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__OAS925	B
Variovorax_OAS795	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__OAS795	C
Lysobacter_OAE881	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__OAE881	A
Bacillus_OAE603	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__OAE603	V
Mucilaginibacter_OAE612	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter	G
